top_artist_name,low_artist_name,CustomerId,top_spend,low_spend,avg_top_spend,avg_low_spend,diff_spend
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,1,0,0.99,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,5,8.91,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,7,4.95,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,10,0.99,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,11,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,13,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,15,3.96,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,16,13.86,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,19,5.9399999999999995,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,25,4.95,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,27,8.91,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,30,0.99,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,31,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,33,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,35,15.84,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,36,13.86,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,39,5.9399999999999995,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,45,0.99,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,46,0.99,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,49,0.99,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,50,2.9699999999999998,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,51,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,52,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,53,1.98,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,54,3.96,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,55,17.82,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,58,5.9399999999999995,0,5.133333333333333,0.99,4.143333333333333
Iron Maiden,Academy of St. Martin in the Fields & Sir Neville Marriner,59,1.98,0,5.133333333333333,0.99,4.143333333333333
