rfm_segment,customer_count,segment_average_sales_per_order
111,3896,25.311309034907598
112,18,39.9
122,3807,53.91401628578934
123,59,69.9
133,3605,89.19456310679612
134,168,109.96
144,3117,140.601264035932
145,257,184.28708171206225
151,19,13.892543859649122
152,47,26.143936170212765
153,60,43.912083333333335
154,118,70.28889830508474
155,3500,406.98182571428566
211,3500,25.856342857142856
212,17,39.9
222,3937,53.688445516891036
223,47,69.9
233,3630,88.52417079889807
234,122,109.95647540983607
244,3347,141.4978428443382
245,258,184.0936046511628
251,9,14.827777777777776
252,41,27.747439024390243
253,94,44.455070921985815
254,138,69.14923913043478
255,3531,411.82584112149533
311,3837,25.33823038832421
312,4,39.9
322,3521,52.90753479125248
323,64,69.9
333,3704,88.51810205183585
334,99,109.95282828282828
344,3547,141.4195517338596
345,291,184.27701030927835
351,8,15.075625
352,38,27.75701754385965
353,79,44.834219409282696
354,166,72.66791164658635
355,3314,369.57232231466315
411,3591,25.635942634363687
412,10,39.9
422,3520,53.139295454545454
423,63,69.9
433,3570,88.4629131652661
434,176,109.97142045454547
444,3667,140.6700845377693
445,269,183.96806691449817
451,15,15.609333333333332
452,43,29.14360465116279
453,74,45.608130630630626
454,150,70.4478
455,3524,408.1347510877791
511,3787,25.76827567995775
512,12,39.9
522,3612,53.696076965669995
523,42,69.9
533,3498,88.47715551743855
534,100,109.97489999999999
544,3610,139.34567867036012
545,308,184.95230519480518
551,10,14.561000000000002
552,45,27.712851851851852
553,83,44.00642570281124
554,146,70.68922374429224
555,3419,404.4682127954428
