prod_family,avg_doh
Sapropterin-TUR,
,
Bounce-Mint,
Sapropterin-KOR,
Nicotine-Mint,
Ivermectin Tab,52175.50
Amitriptyline,19864.00
Diclofenac Sodium Tab,2439.04
Dicyclomine HCl Tab,1657.50
Guanfacine IR,737.59
Bisoprolol Fumarate,478.25
Sildenafil Citrate,338.06
Aripiprazole Oral Solution,281.00
Carbidopa and Levdopa Tab,256.61
Isosorbide DN,208.68
Glipizide,162.60
Pregabalin tab ER,151.00
Oxcarbazepine Suspension,121.00
Potassium Chloride ER,118.47
Haloperidol Oral Solution,102.10
Primidone,100.95
Tramadol,79.11
Cevimeline HCL,75.00
Triamterene HCTZ,74.77
Diclofenac Potassium,73.29
Nitroglycerine,52.58
Labetalol,50.14
Nortriptyline HCL Oral Solution,46.00
Buprenorphine Sl,42.33
Metoprolol Tartrate (Uncoated),40.81
Cyclobenzaprine HCl,38.96
Metoprolol Tartrate,38.12
Acetazolamide,31.60
Lidocaine HCL Oral Solution,31.00
Rabeprazole Sodium,30.00
Buspirone HCl,29.27
Loperamide Caps,29.21
Clonazepam Tab,27.45
Potassium Chloride PFOS,27.35
Potassium Chloride Klorcon,25.00
Desvenlaflaxine,23.51
Amantadine HCL,22.04
Carvedilol,20.28
Amiodarone HCl,18.88
Baclofen,17.94
Lithium Oral Solution,16.00
Potassium Chloride Oral Solution,15.04
Tizanidine HCl,13.25
Midodrine,12.95
Oxybutynin Chloride ER,12.30
Metolazone,10.69
Acyclovir Suspension,10.00
Tranexamic Acid Tab,8.00
Bumetanide Tabs,7.76
Carbidopa and Levdopa ER Tab,1.94
Naloxone HCL  Nasal Spray,0.00
Ipratropium Bro. Nasal Spray,-8.33
Loratadine ODT (OTC),-22.55
