batch,fg_code,prod_desc
230368H1,40742,Tramadol HCl Tab USP 100mg 100
40846HF2,40742,Tramadol HCl Tab USP 100mg 100
41098,30328,Cor Potassium Chl ER Tab 20mEq. Ktab
41524HC1,40669,Desvenlafaxine ER Tab 100 mg 30
41524HE1,40970,Desvenlafaxine ER Tab 100 mg 90
42067HC1,40497,Tramadol HCL Tab USP 25mg 30
50406HC1,40497,Tramadol HCL Tab USP 25mg 30
50462HF1,40309,Buspirone HCl Tab USP 10mg 100
50489BH1,40224,Loratadine OD Tab USP 10mg 3x10
50501HF1,40140,Amantadine HCl Cap USP 100mg 100
50530,30626,Cor Buprenorphine SL Tab 2 mg
50531,30625,Ble Buprenorphine SL Tab 2 mg
50543BH1,40224,Loratadine OD Tab USP 10mg 3x10
50548,30603,Ble Tizanidine HCL Cap 4 mg
50557HF1,40472,Carbi + Levo ER Tab USP 25/100mg 100
50558HF1,40472,Carbi + Levo ER Tab USP 25/100mg 100
50559HF1,40472,Carbi + Levo ER Tab USP 25/100mg 100
50560,30404,Cor Carbi+levo ER Tab USP 25/100mg
50592,30404,Cor Carbi+levo ER Tab USP 25/100mg
50617HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
50618HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
50625HJ1,40622,Carvedilol Tab USP 25mg 500
50648HF1,40309,Buspirone HCl Tab USP 10mg 100
50650HF1,40307,Buspirone HCl Tab USP 5mg 100
50655HJ1,40618,Carvedilol Tab USP 6.25mg 500
50656HJ1,40618,Carvedilol Tab USP 6.25mg 500
50657HJ1,40618,Carvedilol Tab USP 6.25mg 500
50672,30310,Cor Amiodarone HCl Tab USP 400mg
50673,30310,Cor Amiodarone HCl Tab USP 400mg
50674,30310,Cor Amiodarone HCl Tab USP 400mg
50677HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
50678,30875,Gra Potassium Chl ER Tab 20mEq. Ktab
50679,30329,Coa  Potassium Chl ER Tab 20mEq. Ktab
50680,30328,Cor Potassium Chl ER Tab 20mEq. Ktab
50682,30875,Gra Potassium Chl ER Tab 20mEq. Ktab
50749HC1,40774,Tranexamic Acid Tab USP 650 mg 30
50768,30538,Ble Desvenlafaxine ER Tablet 50mg
50801,30521,Ble Desvenlafaxine ER Tab100mg
50802,30857,Gra Desvenlafaxine ER Tab100mg
50803HF1,40695,Midodrine HCl Tab USP 5 mg 100
50804HF1,40695,Midodrine HCl Tab USP 5 mg 100
50805HF1,40695,Midodrine HCl Tab USP 5 mg 100
50808,30296,Cor Loratadine OD Tab USP 10mg
E40929,30524,"IB Nitroglycerine SL TabUSP0.3,0.4&0.6mg"
