material,prod_desc,doh,doh_incl_git,coverage_shortage
40905,Rkusiex,613.398058252427,613.398058252427,68941.33333333333
40509,Kernolix,3192.775957840765,3192.775957840765,51247.83333333333
41156,Zorapil,805.937813440321,805.937813440321,50518.0
40153,Morpylin,1442.0418664483686,1442.0418664483686,42863.73333333333
40961,Ijodoer,137.5237063126524,137.5237063126524,36524.0
41155,Foxyrel,103545.0,381465.0,23260.0
40907,Qylarin,285.1277661259256,285.1277661259256,22986.166666666664
40882,Brylaxin,1739.1549295774648,1739.1549295774648,21680.0
41068,Nagixil,128.86549944337617,128.86549944337617,20916.666666666664
41072,Volarin,176.9959285478487,176.9959285478487,19552.166666666664
40906,Qepyrol,413.0032573289904,413.0032573289904,15085.0
40584,Palirum,1128.8275862068965,1128.8275862068965,13533.0
45018,Yutidon,72.23948465327774,158.09018567639257,8895.5
45019,Rytonex,115.04103165298945,147.221570926143,8121.999999999998
40485,Loxarin,0.0,0.0,7545.0
40908,Zoridex,69.64705882352943,204.61176470588245,6139.500000000001
40962,Ferylon,120.85803976281828,120.85803976281828,5253.0
40781,Jarvexil,0.0,0.0,5232.0
40841,Yaxonil,205.1644736842105,205.1644736842105,4880.0
40645,Wiloran,0.0,0.0,4848.0
40445,Vorilex,90.39881831610046,620.8271787296899,2473.4666666666662
40529,Bistolon,850.3167420814478,850.3167420814478,2203.0
40673,Ylondal,0.0,0.0,1416.0
40154,Ixoral,213.06122448979593,213.06122448979593,908.0
40143,Xylidan,310.0,310.0,894.0
40628,Teravix,855.3846153846154,855.3846153846154,747.0
40916,Kyloran,0.0,0.0,552.0
40817,Tredanor,4080.0,4080.0,540.0
40489,Fynorel,878.4,878.4,442.0
40216,Klorexin,6000.0,6000.0,36.0
40441,Sylavin,3120.0,3120.0,24.0
