batch,fg_code,prod_desc
40405HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
40419HC1,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40420HC2,40028,Sapropterin DiHCl Tab 100mg 30 DIP KOR
40421HC1,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40446HF1,40780,Tramadol HCl Tab USP 50mg 100 JAM CAN
40447HF1,40780,Tramadol HCl Tab USP 50mg 100 JAM CAN
40469,30100,Cor  Nicotine  Pol Mini Loz 4mg Cherry
40482HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
40483HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
40534,30086,Cor Nicotine Pol Loz 2mg Mint
40535,30086,Cor Nicotine Pol Loz 2mg Mint
40536,30088,Cor Nicotine Pol Loz 4mg Mint
40537,30088,Cor Nicotine Pol Loz 4mg Mint
40553HF1,40016,Baclofen Tab USP 10mg 100 TRU
40596HF1,40011,Cyclobenzaprine HCl Tab USP 10mg 100 TRU
40596HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
40598HF1,40011,Cyclobenzaprine HCl Tab USP 10mg 100 TRU
40598HJ1,40012,Cyclobenzaprine HCl Tab USP 10mg 500 TRU
40599HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
40603HF1,40019,Baclofen Tab USP 20mg 100 TRU
40604HF1,40019,Baclofen Tab USP 20mg 100 TRU
40607HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
40608HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
40609HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
40611HF2,40007,Cyclobenzaprine HCl Tab USP 5mg 100 TRU
40612HF2,40007,Cyclobenzaprine HCl Tab USP 5mg 100 TRU
40633HF1,40013,Baclofen Tab USP 5mg 100 TRU
40634HF1,40013,Baclofen Tab USP 5mg 100 TRU
40635HF1,40013,Baclofen Tab USP 5mg 100 TRU
40636HF1,40013,Baclofen Tab USP 5mg 100 TRU
40637,30100,Cor  Nicotine  Pol Mini Loz 4mg Cherry
40645HK2,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
40665HC2,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40666HC2,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40667HC2,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40673HK1,40895,Carbi + Levo tab USP 25/250mg 1000 Tru
40681HF1,40007,Cyclobenzaprine HCl Tab USP 5mg 100 TRU
40682HF1,40007,Cyclobenzaprine HCl Tab USP 5mg 100 TRU
40683HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
40684HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
40685HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
40729HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
40730HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
40731HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
40732HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
40733HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
40734HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
40743HF1,40171,"Metoprolol Tart. Tab USP 100mg,100's,TRU"
40748HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
40749HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
40765HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
40766HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
40776HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
40776HD1,40699,Diclofenac Pot Tab USP 25mg 60 INA
40777HD1,40699,Diclofenac Pot Tab USP 25mg 60 INA
40777HD2,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
40778HD1,40699,Diclofenac Pot Tab USP 25mg 60 INA
40831,30088,Cor Nicotine Pol Loz 4mg Mint
40832,30088,Cor Nicotine Pol Loz 4mg Mint
40863HF1,40150,Midodrine HCL Tab USP 10mg 100 TRU
40866HF1,40891,Carbi + Levo tab USP 10/100mg 100 Tru
40898HF1,40149,Midodrine HCl Tab USP 5mg 100 TRU
40900,30086,Cor Nicotine Pol Loz 2mg Mint
40901,30086,Cor Nicotine Pol Loz 2mg Mint
40908HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
40909HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
40910HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
40911HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
40912HF1,40169,"Metoprolol Tart. Tab USP 50mg,100's,TRU"
40914HF1,40019,Baclofen Tab USP 20mg 100 TRU
40915HK1,40021,Baclofen Tab USP 20mg 1000 TRU
40923HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
40939BF1,40978,SKIIP Mini Loz 2 mg Mint 2x10 Wel KSA
40939BF2,40978,SKIIP Mini Loz 2 mg Mint 2x10 Wel KSA
40942HF1,40013,Baclofen Tab USP 5mg 100 TRU
40943HF1,40013,Baclofen Tab USP 5mg 100 TRU
40948HF1,40016,Baclofen Tab USP 10mg 100 TRU
40949HJ1,40017,Baclofen Tab USP 10mg 500 TRU
40949HK1,40018,Baclofen Tab USP 10mg 1000 TRU
40972HF1,40891,Carbi + Levo tab USP 10/100mg 100 Tru
40973,30086,Cor Nicotine Pol Loz 2mg Mint
40974,30086,Cor Nicotine Pol Loz 2mg Mint
40975,30102,Cor  Nicotine  Pol Loz 2mg Cherry
40976,30102,Cor  Nicotine  Pol Loz 2mg Cherry
40977,30088,Cor Nicotine Pol Loz 4mg Mint
40979HF1,40621,Carvedilol Tab USP 25mg 100
40986HK1,40018,Baclofen Tab USP 10mg 1000 TRU
40990HK2,40168,"Metoprolol Tart. Tab USP 25mg,1000's,TRU"
40994HF1,40047,Metoprolol Tar Tab USP 75mg 100 TRU
41039HF2,40654,Metoprolol Tar Tab USP 50mg 100
41051HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
41052HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
41053HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
41054HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
41055HK1,40170,"Metoprolol Tart. Tab USP 50mg,1000's,TRU"
41056HF1,40171,"Metoprolol Tart. Tab USP 100mg,100's,TRU"
41057HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
41058HK1,40172,"Metoprolol Tart.Tab USP 100mg,1000's,TRU"
41059HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
41060HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41061HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41114HD1,40699,Diclofenac Pot Tab USP 25mg 60 INA
41115HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
41115HD1,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
41117HE1,40173,Sildenafil Tab USP 20mg 90 TRU
41124HE1,40566,Sildenafil Tab USP 20mg 90
41141HD1,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
41141HD2,40699,Diclofenac Pot Tab USP 25mg 60 INA
41165HF1,40893,Carbi + Levo tab USP 25/250mg 100 Tru
41173HF1,40150,Midodrine HCL Tab USP 10mg 100 TRU
41174HF1,40150,Midodrine HCL Tab USP 10mg 100 TRU
41764HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
41229HJ1,40892,Carbi + Levo tab USP 10/100mg 500 Tru
41236HF1,40047,Metoprolol Tar Tab USP 75mg 100 TRU
41258,30112,"Cor Nicotine  Pol Loz 4mg,Cinnamon"
41259,30110,"Cor Nicotine  Pol Loz 2mg,Cinnamon"
41287HK2,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
41295HF1,40019,Baclofen Tab USP 20mg 100 TRU
41296HF1,40019,Baclofen Tab USP 20mg 100 TRU
41296HK1,40021,Baclofen Tab USP 20mg 1000 TRU
