bucket,number_of_customers,min_profit,max_profit
1.0,1,0.2300000000000182,0.2300000000000182
1.002130202297008,1,0.8200000000000003,0.8200000000000003
1.004007668728269,1,1.3400000000000016,1.3400000000000016
1.0048741916965436,1,1.58,1.58
1.0080514425802165,1,2.460000000000001,2.460000000000001
1.0088457553011347,1,2.6800000000000033,2.6800000000000033
1.0133588957608974,1,3.929999999999999,3.929999999999999
1.0187024540652563,1,5.410000000000002,5.410000000000002
1.024298748235362,1,6.960000000000001,6.960000000000001
1.1767706855279831,1,49.19,49.19
1.2625925645108298,3,72.96000000000004,72.96000000000004
1.2774317703425293,1,77.06999999999998,77.06999999999998
1.2931736042661812,1,81.42999999999995,81.42999999999995
1.2992753701677806,1,83.12,83.12
1.331589455859681,1,92.07000000000001,92.07000000000001
1.442901552159267,1,122.89999999999999,122.89999999999999
1.5325866793756702,1,147.73999999999995,147.73999999999995
1.5565965866216074,1,154.39,154.39
1.5871776263769588,3,162.8599999999999,162.8599999999999
1.6521668489975412,1,180.85999999999999,180.85999999999999
1.6922435362802335,1,191.95999999999998,191.95999999999998
1.889630247428413,1,246.6300000000001,246.6300000000001
1.8898829832941595,1,246.70000000000007,246.70000000000007
1.9016893587368988,1,249.9700000000001,249.9700000000001
1.934220075170868,1,258.98000000000013,258.98000000000013
1.966353635244378,1,267.8800000000001,267.8800000000001
1.9929992165188166,1,275.2600000000001,275.2600000000001
2.0230747845426746,1,283.5900000000001,283.5900000000001
2.123013766883659,1,311.2700000000001,311.2700000000001
2.201831251872953,1,333.0999999999999,333.0999999999999
2.2144319400366115,1,336.5900000000002,336.5900000000002
2.356794442699363,1,376.01999999999975,376.01999999999975
2.3793962501218546,1,382.28,382.28
2.5002400990724594,1,415.74999999999994,415.74999999999994
2.5736418155100393,1,436.08000000000004,436.08000000000004
2.5865313446631206,1,439.64999999999986,439.64999999999986
2.606750213922858,1,445.25,445.25
2.617906697139392,1,448.34000000000015,448.34000000000015
2.6507984648101415,1,457.45000000000005,457.45000000000005
3.0903422404673453,1,579.19,579.19
3.171506558495717,1,601.6700000000002,601.6700000000002
3.3424643191115244,1,649.0199999999998,649.0199999999998
3.359614252858623,1,653.7699999999999,653.7699999999999
3.3755727175243444,1,658.19,658.19
3.6678436936985728,1,739.14,739.14
3.689470662781755,1,745.1299999999998,745.1299999999998
3.809123042650983,1,778.27,778.27
4.0512078969126515,1,845.32,845.32
4.215161263534909,1,890.73,890.73
4.546678509147233,1,982.5499999999998,982.5499999999998
5.76706779459073,1,1320.5599999999997,1320.5599999999997
6.268387436861168,1,1459.4100000000008,1459.4100000000008
7.217663348605801,1,1722.33,1722.33
7.310814567695301,1,1748.1299999999997,1748.1299999999997
9.141524863793421,1,2255.18,2255.18
9.192938559911038,1,2269.42,2269.42
9.670103874440823,1,2401.58,2401.58
9.946091439836227,1,2478.02,2478.02
11.0,1,2769.9199999999996,2769.9199999999996
